"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Dukes","007","Nitrogen Oxides","CAP","106.10273295","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","105.85986099","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Monoxide","CAP","105.7899","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Worcester","027","Elemental Carbon portion of PM2.5-PRI","","105.000602962707744","TON"
"Fuel Comb - Comm/Institutional - Other","MA","25","Norfolk","021","Carbon Monoxide","CAP","104.9574","TON"
"Waste Disposal","MA","25","Berkshire","003","Nitrogen Oxides","CAP","104.743982","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Hampshire","015","Carbon Monoxide","CAP","104.6839","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Bristol","005","Carbon Monoxide","CAP","104.5696103","TON"
"Industrial Processes - NEC","MA","25","Essex","009","Volatile Organic Compounds","CAP","104.4638","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Middlesex","017","Carbon Monoxide","CAP","104.422","TON"
"Fuel Comb - Residential - Oil","MA","25","Hampden","013","Carbon Monoxide","CAP","104.188891","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Bristol","005","Ammonia","CAP","103.795","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","103.610884651690000000428736","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Bristol","005","Volatile Organic Compounds","CAP","103.496404","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Methane","GHG","102.61789","TON"
"Fires - Wildfires","MA","25","Hampden","013","Carbon Monoxide","CAP","101.961657","TON"
"Industrial Processes - Storage and Transfer","MA","25","Bristol","005","Volatile Organic Compounds","CAP","101.81558","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","101.404532","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Barnstable","001","Carbon Monoxide","CAP","101.25692066560000000000549863","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Norfolk","021","Carbon Monoxide","CAP","101.172","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Nitrous Oxide","GHG","100.75590023","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Suffolk","025","PM2.5 Primary (Filt + Cond)","CAP","100.462865457127000000415874","TON"
"Agriculture - Livestock Waste","MA","25","Berkshire","003","Ammonia","CAP","100.256864","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","PM2.5 Primary (Filt + Cond)","CAP","99.997993186292500007119521422","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","99.9936","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP","99.9483","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","Elemental Carbon portion of PM2.5-PRI","","99.750778488","TON"
"Industrial Processes - Mining","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","99.5263","TON"
"Dust - Paved Road Dust","MA","25","Berkshire","003","PM2.5 Primary (Filt + Cond)","CAP","99.3486","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Elemental Carbon portion of PM2.5-PRI","","99.1115","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Hampden","013","Sulfur Dioxide","CAP","98.777171","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nantucket","019","Volatile Organic Compounds","CAP","98.711625768","TON"
"Waste Disposal","MA","25","Barnstable","001","PM2.5 Primary (Filt + Cond)","CAP","98.527554","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Methane","GHG","97.6258884","TON"
"Mobile - Locomotives","MA","25","Worcester","027","Carbon Monoxide","CAP","97.4895","TON"
"Industrial Processes - NEC","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","97.2774","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Franklin","011","Carbon Monoxide","CAP","97.230475079000000000570563","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","PM2.5 Primary (Filt + Cond)","CAP","97.0305615","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Plymouth","023","Sulfur Dioxide","CAP","96.954165","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Berkshire","003","Carbon Monoxide","CAP","96.6932","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","96.64777","TON"
"Fires - Prescribed Fires","MA","25","Bristol","005","Volatile Organic Compounds","CAP","96.46053","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","96.3993684126000000000939073","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","96.1554","TON"
"Commercial Cooking","MA","25","Essex","009","Carbon Monoxide","CAP","96.06424","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Bristol","005","Volatile Organic Compounds","CAP","95.9812180665","TON"
"Commercial Cooking","MA","25","Plymouth","023","Organic Carbon portion of PM2.5-PRI","","95.7369101","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Plymouth","023","Nitrogen Oxides","CAP","95.7164","TON"
"Mobile - Commercial Marine Vessels","MA","25","Nantucket","019","Nitrogen Oxides","CAP","95.70132","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampshire","015","Carbon Monoxide","CAP","94.172607","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Hampden","013","Nitrogen Oxides","CAP","93.8564","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","93.79552045428","TON"
"Commercial Cooking","MA","25","Worcester","027","Carbon Monoxide","CAP","93.68338","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Middlesex","017","Nitrogen Oxides","CAP","93.5967","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","93.5073168063000000000910901","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Hampden","013","PM10 Primary (Filt + Cond)","CAP","93.1127","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Nitrous Oxide","GHG","92.98609583","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Hampden","013","Carbon Monoxide","CAP","92.8512","TON"
"Biogenics - Vegetation and Soil","MA","25","Plymouth","023","Nitrogen Oxides","CAP","92.7425","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","92.417168","TON"
"Waste Disposal","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP","92.41706","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Hampden","013","PM10 Primary (Filt + Cond)","CAP","92.4049","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","92.13504495694200000773807","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP","91.93879983888000000773807","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampshire","015","Nitrogen Oxides","CAP","91.8020895746000000123177","TON"
"Industrial Processes - NEC","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","91.6967","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","91.694456572030000007738604154","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Plymouth","023","Carbon Monoxide","CAP","91.5456312","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Bristol","005","Volatile Organic Compounds","CAP","91.46801253","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Berkshire","003","Carbon Monoxide","CAP","91.427838","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Barnstable","001","PM10 Primary (Filt + Cond)","CAP","91.32648365","TON"
"Industrial Processes - Mining","MA","25","Hampden","013","PM10 Primary (Filt + Cond)","CAP","91.2307","TON"
"Fuel Comb - Comm/Institutional - Other","MA","25","Bristol","005","Carbon Monoxide","CAP","91.20711","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Middlesex","017","PM2.5 Primary (Filt + Cond)","CAP","91.198739","TON"
"Fuel Comb - Residential - Oil","MA","25","Franklin","011","Sulfur Dioxide","CAP","91.144126","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Worcester","027","Carbon Monoxide","CAP","91.0411","TON"
"Solvent - Degreasing","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","91.0376","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Norfolk","021","PM2.5 Primary (Filt + Cond)","CAP","90.98172862874","TON"
"Waste Disposal","MA","25","Worcester","027","Elemental Carbon portion of PM2.5-PRI","","90.91389631412","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Plymouth","023","Ammonia","CAP","90.8535","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Nitrous Oxide","GHG","90.81926785","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","90.81169006212","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Ammonia","CAP","90.80545635","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Hampden","013","Nitrogen Oxides","CAP","90.6702","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Norfolk","021","Nitrogen Oxides","CAP","90.4297","TON"
"Gas Stations","MA","25","Hampshire","015","Volatile Organic Compounds","CAP","90.3362669","TON"
"Dust - Construction Dust","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","89.994483","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","89.9772","TON"
"Solvent - Non-Industrial Surface Coating","MA","25","Franklin","011","Volatile Organic Compounds","CAP","89.9664","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","89.451141","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","89.0661","TON"
"Waste Disposal","MA","25","Hampden","013","Organic Carbon portion of PM2.5-PRI","","89.0045944079","TON"
"Commercial Cooking","MA","25","Bristol","005","Volatile Organic Compounds","CAP","88.5188","TON"
"Dust - Unpaved Road Dust","MA","25","Norfolk","021","PM2.5 Primary (Filt + Cond)","CAP","88.3002","TON"
"Dust - Paved Road Dust","MA","25","Hampshire","015","PM2.5 Primary (Filt + Cond)","CAP","88.2875","TON"
"Commercial Cooking","MA","25","Norfolk","021","Carbon Monoxide","CAP","88.24149","TON"
"Fuel Comb - Residential - Oil","MA","25","Barnstable","001","Carbon Monoxide","CAP","87.853035","TON"
"Industrial Processes - Mining","MA","25","Barnstable","001","PM10 Primary (Filt + Cond)","CAP","86.9707","TON"
"Industrial Processes - Mining","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","86.9707","TON"
"Industrial Processes - Mining","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP","86.9707","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Hampden","013","Carbon Monoxide","CAP","86.8219516","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","86.3794","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Hampden","013","Ammonia","CAP","86.0696","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","85.659525","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","Ammonia","CAP","85.442097","TON"
"Agriculture - Livestock Waste","MA","25","Franklin","011","Ammonia","CAP","85.344848","TON"
"Mobile - Locomotives","MA","25","Suffolk","025","Carbon Monoxide","CAP","85.120894","TON"
"Fuel Comb - Residential - Oil","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","85.102698","TON"
"Dust - Unpaved Road Dust","MA","25","Worcester","027","Organic Carbon portion of PM2.5-PRI","","85.08864","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Plymouth","023","Nitrogen Oxides","CAP","85.0542","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","84.8493","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","84.76420516153200000711903","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP","84.58363937665000000711903","TON"
"Agriculture - Livestock Waste","MA","25","Hampshire","015","Ammonia","CAP","84.44652","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","84.358712777850000007119521422","TON"
"Industrial Processes - NEC","MA","25","Berkshire","003","Nitrogen Oxides","CAP","84.1034","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Norfolk","021","Nitrogen Oxides","CAP","82.6236","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampden","013","Volatile Organic Compounds","CAP","82.472701","TON"
"Commercial Cooking","MA","25","Hampden","013","Organic Carbon portion of PM2.5-PRI","","82.33197908","TON"
"Fuel Comb - Residential - Oil","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","82.314156","TON"
"Waste Disposal","MA","25","Franklin","011","Volatile Organic Compounds","CAP","82.19597","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","81.86777560735000000773807","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","81.8207806","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP","81.44527586","TON"
"Biogenics - Vegetation and Soil","MA","25","Middlesex","017","Nitrogen Oxides","CAP","81.1123","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP","80.9117573029","TON"
"Biogenics - Vegetation and Soil","MA","25","Berkshire","003","Nitrogen Oxides","CAP","80.4518","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Hampden","013","PM2.5 Primary (Filt + Cond)","CAP","80.4004","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Middlesex","017","Organic Carbon portion of PM2.5-PRI","","80.3358932","TON"
"Agriculture - Livestock Waste","MA","25","Bristol","005","Ammonia","CAP","80.2336","TON"
"Waste Disposal","MA","25","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","80.13058","TON"
"Commercial Cooking","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","80.1305","TON"
"Fires - Wildfires","MA","25","Plymouth","023","Carbon Monoxide","CAP","80.01354","TON"
"Commercial Cooking","MA","25","Barnstable","001","Organic Carbon portion of PM2.5-PRI","","79.973846","TON"
"Mobile - Locomotives","MA","25","Norfolk","021","Carbon Monoxide","CAP","79.801728","TON"
"Fuel Comb - Residential - Oil","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","79.589237","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Franklin","011","Nitrogen Oxides","CAP","78.7096697","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP","78.48439377984","TON"
"Mobile - Aircraft","MA","25","Hampden","013","Volatile Organic Compounds","CAP","77.9964694357","TON"
"Industrial Processes - NEC","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","77.9184","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Middlesex","017","PM2.5 Primary (Filt + Cond)","CAP","77.7946","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Suffolk","025","Elemental Carbon portion of PM2.5-PRI","","77.476965684432000000320722","TON"
"Dust - Construction Dust","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP","77.279971","TON"
"Mobile - Commercial Marine Vessels","MA","25","Bristol","005","Volatile Organic Compounds","CAP","77.1708043738","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Dukes","007","Volatile Organic Compounds","CAP","77.142075","TON"
"Fuel Comb - Comm/Institutional - Other","MA","25","Hampshire","015","Carbon Monoxide","CAP","76.90122","TON"
"Industrial Processes - Chemical Manuf","MA","25","Worcester","027","Volatile Organic Compounds","CAP","76.8747","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Methane","GHG","76.7230110198000000055778","TON"
"Industrial Processes - NEC","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","76.7051139","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Methane","GHG","76.40704314","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","76.3841","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Worcester","027","Sulfur Dioxide","CAP","76.34464","TON"
"Fuel Comb - Residential - Oil","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","76.164006","TON"
"Waste Disposal","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","76.1556466","TON"
"Waste Disposal","MA","25","Norfolk","021","Carbon Monoxide","CAP","75.88297","TON"
"Biogenics - Vegetation and Soil","MA","25","Franklin","011","Nitrogen Oxides","CAP","75.8031","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","75.628134","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Norfolk","021","Nitrogen Oxides","CAP","75.6199","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","PM2.5 Primary (Filt + Cond)","CAP","75.31842112769000000711903","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Organic Carbon portion of PM2.5-PRI","","75.26531904554720000338296","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Bristol","005","PM10 Primary (Filt + Cond)","CAP","75.122763779","TON"
"Mobile - Locomotives","MA","25","Essex","009","Carbon Monoxide","CAP","74.94782","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Franklin","011","Carbon Monoxide","CAP","74.75578416","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Bristol","005","Nitrogen Oxides","CAP","74.4285","TON"
"Fires - Wildfires","MA","25","Berkshire","003","Carbon Monoxide","CAP","74.385163","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Suffolk","025","Carbon Monoxide","CAP","74.1579","TON"
"Fuel Comb - Residential - Oil","MA","25","Suffolk","025","PM2.5 Primary (Filt + Cond)","CAP","73.668363","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP","73.461491179","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Norfolk","021","PM2.5 Primary (Filt + Cond)","CAP","73.2652","TON"
"Industrial Processes - NEC","MA","25","Bristol","005","Volatile Organic Compounds","CAP","72.8624","TON"
"Fires - Prescribed Fires","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","72.70689","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Barnstable","001","Ammonia","CAP","72.5749","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","72.563773","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Bristol","005","PM10 Primary (Filt + Cond)","CAP","72.4058382547","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Barnstable","001","Volatile Organic Compounds","CAP","72.354204225740000000136674","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampshire","015","Nitrogen Oxides","CAP","72.2466","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Essex","009","Elemental Carbon portion of PM2.5-PRI","","72.1128621823806400000702487","TON"
"Fuel Comb - Electric Generation - Biomass","MA","25","Worcester","027","Nitrogen Oxides","CAP","71.861","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Nitrous Oxide","GHG","71.85636374","TON"
"Mobile - Commercial Marine Vessels","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","71.5880476805","TON"
"Industrial Processes - Mining","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP","71.4548","TON"
"Fuel Comb - Residential - Oil","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","71.22972","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Franklin","011","Nitrogen Oxides","CAP","71.0139","TON"
"Commercial Cooking","MA","25","Hampden","013","Volatile Organic Compounds","CAP","71.00396","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Nitrous Oxide","GHG","70.79337026","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","PM2.5 Primary (Filt + Cond)","CAP","70.745598","TON"
"Fuel Comb - Residential - Oil","MA","25","Norfolk","021","PM10 Primary (Filt + Cond)","CAP","70.583376","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Plymouth","023","Carbon Monoxide","CAP","70.3059","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Hampden","013","PM10 Primary (Filt + Cond)","CAP","70.243096","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP","70.2336563397","TON"
"Agriculture - Livestock Waste","MA","25","Middlesex","017","Ammonia","CAP","70.184164","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Norfolk","021","Elemental Carbon portion of PM2.5-PRI","","70.16505718441568","TON"
"Fires - Prescribed Fires","MA","25","Dukes","007","Volatile Organic Compounds","CAP","69.959","TON"
"Fuel Comb - Residential - Wood","MA","25","Hampden","013","Nitrogen Oxides","CAP","69.956234","TON"
"Commercial Cooking","MA","25","Bristol","005","Carbon Monoxide","CAP","69.70713","TON"
"Industrial Processes - NEC","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","69.633249749","TON"
"Mobile - Commercial Marine Vessels","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","69.2629791334","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Plymouth","023","Nitrogen Oxides","CAP","69.19626001851","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Suffolk","025","Methane","GHG","69.07031039950000000576262619","TON"
"Dust - Paved Road Dust","MA","25","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","68.9428","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Suffolk","025","Nitrogen Oxides","CAP","68.78898","TON"
"Fuel Comb - Residential - Wood","MA","25","Essex","009","Nitrogen Oxides","CAP","68.721143","TON"
"Dust - Unpaved Road Dust","MA","25","Dukes","007","PM2.5 Primary (Filt + Cond)","CAP","68.4775","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","68.155","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Methane","GHG","68.123812","TON"
"Biogenics - Vegetation and Soil","MA","25","Bristol","005","Nitrogen Oxides","CAP","68.1007","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP","67.95207009","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","67.9291","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","67.862114","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nantucket","019","Nitrogen Oxides","CAP","67.77572419","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Methane","GHG","67.4605461","TON"
"Fuel Comb - Residential - Oil","MA","25","Middlesex","017","Ammonia","CAP","67.246649","TON"
"Fuel Comb - Residential - Wood","MA","25","Suffolk","025","Organic Carbon portion of PM2.5-PRI","","66.946785589","TON"
"Fires - Wildfires","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","66.945225","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Berkshire","003","Nitrogen Oxides","CAP","66.9102","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Nantucket","019","Carbon Monoxide","CAP","66.898482484510000002827683","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Essex","009","Methane","GHG","66.8559924340000000000000471907","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampden","013","Nitrogen Oxides","CAP","66.7371","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","66.566549","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Nitrogen Oxides","CAP","65.6808301","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Worcester","027","Volatile Organic Compounds","CAP","65.5029","TON"
"Fuel Comb - Residential - Other","MA","25","Worcester","027","Nitrogen Oxides","CAP","65.447","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP","65.409994433","TON"
"Mobile - Commercial Marine Vessels","MA","25","Barnstable","001","Sulfur Dioxide","CAP","65.229654121322","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Sulfur Dioxide","CAP","65.17994649","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP","64.80118284","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Sulfur Dioxide","CAP","64.76427592","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","64.5307","TON"
"Fuel Comb - Electric Generation - Coal","MA","25","Essex","009","Carbon Monoxide","CAP","64","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP","63.99495693","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Hampden","013","Volatile Organic Compounds","CAP","63.7548469599","TON"
"Fuel Comb - Residential - Oil","MA","25","Franklin","011","Nitrogen Oxides","CAP","63.54827","TON"
"Fuel Comb - Residential - Other","MA","25","Suffolk","025","Nitrogen Oxides","CAP","63.3026","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Bristol","005","PM10 Primary (Filt + Cond)","CAP","63.253464","TON"
